Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,
 ,50,29.091214,35.979670,41.992642,46.782697,50.085969,51.770816,51.891495,50.745013,48.920240,47.295749,46.882727,48.429814,51.998228,56.935709,62.242461,66.931379,70.205272,71.513481,70.564592,67.327878,62.033599,55.178824,47.549251,40.260769,34.739222,32.291945,
 ,55,28.569666,34.823190,40.209333,44.411766,47.192166,48.433520,48.191018,46.750090,44.683691,42.867062,42.333834,43.858584,47.488552,52.529645,57.958985,62.794185,66.251940,67.788282,67.103573,64.141320,59.087594,52.376134,44.711574,37.130120,31.066972,28.088639,
 ,60,27.903885,33.527896,38.314886,41.969964,44.273161,45.118124,44.560504,42.876638,40.627292,38.686045,38.102711,39.656565,43.351458,48.437465,53.876191,58.706572,62.176705,63.766559,63.185738,60.369659,55.477316,48.893942,41.251394,33.496299,27.026847,23.618780,
 ,65,27.013930,31.936202,36.092165,39.206849,41.072964,41.587296,40.798616,38.968529,36.642292,34.689478,34.168589,35.841702,39.642559,44.758901,50.148138,54.883369,58.253599,59.771189,59.164942,56.374932,51.548894,45.042001,37.432559,29.590821,22.870116,19.241596,
 ,70,26.112602,30.180484,33.577248,36.067445,37.464362,37.666861,36.709780,34.830051,32.547321,30.717758,30.394189,32.293745,36.257058,41.415840,46.742370,51.355596,54.588554,55.985693,55.295481,52.466499,47.644199,41.169197,33.589706,25.731947,18.947220,15.468104,
 ,75,25.554921,28.623905,31.074809,32.760393,33.549360,33.361830,32.223723,30.341758,28.198310,26.620456,26.628513,28.852056,33.017625,38.223749,43.487924,47.989697,51.107532,52.412711,51.666292,48.819883,44.015730,37.586930,30.071934,22.298092,15.716794,12.966399,
 ,80,25.605474,27.692353,29.079162,29.759995,29.720127,28.953647,27.512198,25.587180,23.622164,22.397340,22.852173,25.457870,29.809331,35.016223,40.184352,44.574256,47.614020,48.896891,48.186948,45.427840,40.749618,34.475604,27.147783,19.645841,13.663974,12.246726,
 ,85,26.231842,27.617576,28.060811,27.691826,26.651567,25.076685,23.118883,21.013589,19.197217,18.389095,19.358022,22.311191,26.720216,31.778535,36.730984,40.942237,43.897795,45.211613,44.643368,42.117434,37.739409,31.814476,24.893522,17.950383,12.993027,13.032985,
 ,90,27.086605,28.247655,28.161095,27.024815,25.097919,22.672482,20.065016,17.649207,15.930396,15.545596,16.946453,20.002476,24.150164,28.754567,33.238766,37.088755,39.856038,41.177757,40.805810,38.636731,34.739646,29.389493,23.139712,17.057973,13.332062,14.434540,
 ,95,27.677316,29.103910,29.043117,27.701124,25.390528,22.507733,19.518833,16.958999,15.408437,15.327901,16.778655,19.420355,22.795382,26.484257,30.099637,33.260754,35.597572,36.778913,36.551143,34.778557,31.483410,26.894976,21.546937,16.541201,13.989213,15.692427,
 ,100,27.562454,29.613532,30.068412,29.113030,27.073770,24.399485,21.637855,19.385824,18.160182,18.182115,19.283881,21.100674,23.303027,25.654208,27.956702,29.995118,31.518027,32.258012,31.974485,30.504967,27.819082,24.083872,19.778706,15.946278,14.410501,16.400135,
 ,105,26.474448,29.312602,30.594218,30.461146,29.217958,27.308702,25.272415,23.650652,22.829272,22.885770,23.598239,24.628506,25.700369,26.660430,27.446211,28.019708,28.309666,28.188566,27.491379,26.066234,23.842881,20.917273,17.678380,15.015620,14.339562,16.424123,
 ,110,24.382071,27.946770,30.157489,31.076917,30.944437,30.137292,29.108836,28.286550,27.942143,28.101679,28.571983,29.066375,29.334483,29.232251,28.730086,27.880412,26.765034,25.441853,23.912621,22.129946,20.049196,17.720794,15.422751,13.810343,13.812724,15.837430,
 ,115,21.537305,25.509102,28.535144,30.540156,31.647696,32.112416,32.249878,32.349426,32.586089,32.970470,33.366214,33.562203,33.356172,32.614975,31.301279,29.471383,27.252193,24.805112,22.286079,19.815670,17.478196,15.367233,13.678046,12.789519,13.152183,14.900527,
 ,120,18.543425,22.265515,25.751099,28.684373,31.003953,32.786664,34.170288,35.288543,36.219527,36.959365,37.428117,37.501954,37.056094,36.003250,34.318829,32.050620,29.314458,26.279006,23.143599,20.114268,17.385064,15.133232,13.530991,12.752569,12.928151,14.050127,
 ,125,16.403775,18.804777,22.078845,25.573417,28.929550,31.969410,34.608619,36.804284,38.525253,39.737476,40.401054,40.475990,39.933048,38.765909,37.001319,34.704966,31.982022,28.972339,25.841148,22.766671,19.926357,17.483411,15.574621,14.299432,13.710053,13.805322,


Predictor,1

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,
 ,0,65.000000,64.913910,64.656813,64.232221,63.645932,62.905961,62.022438,61.007478,59.875040,58.640752,57.321735,55.936405,54.504270,53.045722,51.581819,50.134061,48.724151,47.373747,46.104177,44.936119,43.889242,42.981790,42.230118,41.648210,41.247189,41.034888,
 ,5,65.040371,64.937204,64.662987,64.222314,63.622031,62.871120,61.980553,60.963121,59.833245,58.606775,57.300778,55.933316,54.523240,53.089975,51.653323,50.233282,48.849865,47.522938,46.272046,45.116231,44.073816,43.162139,42.397228,41.793413,41.362868,41.115142,
 ,10,65.153913,65.025696,64.724318,64.255643,63.627857,62.851303,61.938278,60.902804,59.760381,58.527730,57.222519,55.863098,54.468241,53.056907,51.648028,50.260330,48.912190,47.621535,46.405764,45.281692,44.265494,43.372618,42.617644,42.014059,41.573935,41.307516,
 ,15,65.318560,65.151127,64.806609,64.292347,63.618186,62.796254,61.840697,60.767381,59.593571,58.337586,57.018448,55.655526,54.268202,52.875560,51.496120,50.147626,48.846909,47.609816,46.451220,45.385089,44.424595,43.582239,42.869929,42.298994,41.880068,41.622829,
 ,20,65.499584,65.273705,64.865360,64.283578,63.540189,62.649549,61.628210,60.494545,59.268332,57.970305,56.621681,55.243687,53.857094,52.481782,51.136373,49.837939,48.601824,47.441588,46.369091,45.394691,44.527559,43.776040,43.148023,42.651238,42.293427,42.082312,
 ,25,65.652316,65.345139,64.849050,64.174967,63.337025,62.352260,61.240212,60.022468,58.722138,57.363278,55.970260,54.567123,53.176915,51.821072,50.518867,49.286976,48.139214,47.086467,46.136854,45.296102,44.568111,43.955639,43.461035,43.086898,42.836588,42.714490,
 ,30,65.725385,65.312001,64.702573,63.910080,62.951271,61.846305,60.618316,59.292861,57.897290,56.460002,55.009626,53.574117,52.179834,50.850610,49.606927,48.465241,47.437574,46.531419,45.750024,45.093026,44.557399,44.138590,43.831722,43.632707,43.539147,43.550895,
 ,35,65.664085,65.119063,64.370501,63.433579,62.327930,61.077283,59.708984,58.253386,56.743086,55.212015,53.694349,52.223280,50.829676,49.540711,48.378586,47.359497,46.492997,45.781912,45.222852,44.807305,44.523179,44.356595,44.293713,44.322359,44.433310,44.621117,
 ,40,65.413552,64.712343,63.799976,62.693919,61.416931,59.996737,58.465548,56.859411,55.217341,53.580199,51.989279,50.484610,49.103009,47.876015,46.827916,45.974164,45.320470,44.862832,44.588558,44.478177,44.507933,44.652501,44.887544,45.191858,45.548930,45.947874,
 ,45,64.921573,64.041717,62.943109,61.645537,60.175080,58.563868,56.849665,55.075228,53.287361,51.535573,49.870241,48.340241,46.990076,45.856711,44.966527,44.332936,43.955252,43.819177,43.898914,44.160500,44.565735,45.076031,45.655692,46.274375,46.908678,47.542910,
 ,50,64.140924,63.063040,61.758894,60.250546,58.567529,56.746768,54.832311,52.874795,50.930481,49.059701,47.324461,45.785081,44.495857,43.500138,42.825597,42.480831,42.454329,42.716268,43.222771,43.921539,44.757618,45.678353,46.637039,47.595256,48.524071,49.404361,
 ,55,63.031235,61.739823,60.214683,58.480010,56.568849,54.523270,52.394396,50.242116,48.134254,46.144816,44.350863,42.827602,41.641655,40.843214,40.458783,40.486765,40.897637,41.638849,42.642855,43.835883,45.145480,46.505925,47.861480,49.167934,50.392990,51.515922,
 ,60,61.560437,60.044508,58.287307,56.314909,54.163811,51.881527,49.527104,47.171349,44.896374,42.793767,40.960432,39.491166,38.467776,37.946340,37.946378,38.446421,39.388255,40.688077,42.250090,43.978360,45.784958,47.594418,49.345509,50.991388,52.498929,53.847684,
 ,65,59.705874,57.959467,55.963963,53.746897,51.348007,48.820441,46.232077,43.666696,41.224384,39.019893,37.176977,35.816563,35.038317,34.899638,35.400793,36.484428,38.049965,39.975065,42.135016,44.415416,46.718277,48.963737,51.089506,53.049434,54.811889,56.358232,
 ,70,57.455177,55.477822,53.242981,50.779018,48.128460,45.350093,42.521552,39.742181,37.135217,34.846991,33.038892,31.867138,31.449836,31.832498,32.972452,34.753450,37.019871,39.610010,42.376819,45.196289,47.968417,50.615064,53.077089,55.311729,57.290476,58.997406,
 ,75,54.807042,52.604249,50.134673,47.426576,44.524467,41.492422,38.418663,35.421387,32.654602,30.309716,28.603366,27.739450,27.846801,28.926441,30.852591,33.425852,36.433844,39.687373,43.031871,46.345923,49.535855,52.530372,55.276385,57.736038,59.884647,61.709238,
 ,80,51.772059,49.355958,46.662498,43.718502,40.569084,37.282611,33.958315,30.737364,27.816356,25.455250,23.956752,23.585932,24.447326,26.426862,29.264619,32.672936,36.405083,40.270144,44.124812,47.861422,51.398468,54.674221,57.642701,60.271183,62.538636,64.434694,
 ,85,48.373841,45.764183,42.865001,39.699791,36.312029,32.772131,29.189538,25.733154,22.661616,20.348878,19.241895,19.662909,21.576876,24.637115,28.431996,32.631219,37.001125,41.378321,45.644948,49.712815,53.514278,56.997151,60.121913,62.860152,65.193691,67.114053,
 ,90,44.650832,41.876712,38.799296,35.436196,31.825702,28.035737,24.181883,20.464378,17.238081,15.093584,14.736761,16.419667,19.676968,23.863146,28.519407,33.366527,38.228861,42.986051,47.548845,51.847471,55.826035,59.439813,62.653974,65.443005,67.790463,69.688870,
 ,95,40.659468,37.762463,34.547616,31.023527,27.218159,23.188463,19.043887,15.009608,11.599672,9.916079,11.083830,14.570081,19.193787,24.296994,29.573177,34.855701,40.034943,45.028120,49.767668,54.196559,58.266455,61.937077,65.176117,67.959378,70.270983,72.103552,
 ,100,36.479915,33.519936,30.229836,26.606532,22.662078,18.429836,13.984142,9.520979,5.810002,5.706264,9.648274,14.807202,20.310318,25.915841,31.506019,36.997526,42.320450,47.412331,52.216493,56.681835,60.763155,64.421670,67.625573,70.350557,72.580258,74.306610,
 ,105,32.226643,29.292908,26.027324,22.416922,18.459775,14.164593,9.550179,4.645595,0.568461,5.904676,11.444555,17.096874,22.803401,28.504180,34.138090,39.643929,44.961530,50.032863,54.803094,59.221577,63.242783,66.827135,69.941759,72.561117,74.667543,76.251646,
 ,110,28.067653,25.298430,22.225102,18.841655,15.167979,11.276465,7.412318,4.707488,6.086368,10.330839,15.384893,20.744084,26.238705,31.769477,37.257615,42.632387,47.827662,52.781187,57.434825,61.735156,65.634198,69.090128,72.067976,74.540227,76.487338,77.898137,
 ,115,24.256846,21.869131,19.265875,16.489119,13.664509,11.096831,9.451225,9.673829,11.989981,15.705202,20.185551,25.085333,30.211678,35.437239,40.663800,45.807675,50.793789,55.553391,60.023363,64.146278,67.870783,71.152128,73.952723,76.242661,78.000185,79.212054,
 ,120,21.174568,19.481754,17.732519,16.035131,14.602652,13.771424,13.928106,15.299633,17.814081,21.218503,25.251341,29.705696,34.424926,39.285596,44.184682,49.032076,53.746649,58.254382,62.487648,66.385132,69.892080,72.960712,75.550691,77.629587,79.173289,80.166339,
 ,125,19.323000,18.656531,18.068404,17.660411,17.586318,18.023708,19.122017,20.951806,23.491029,26.651337,30.315078,34.360401,38.672097,43.144196,47.679440,52.188130,56.587234,60.799939,64.755568,68.389781,71.644925,74.470481,76.823527,78.669182,79.980997,80.741273,


Predictor,2

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,
 ,0,64.000000,63.829407,63.324709,62.506783,61.409164,60.076153,58.560126,56.918101,55.207662,53.482499,51.787994,50.157453,48.609697,47.148595,45.764879,44.440104,43.152172,41.881558,40.617279,39.361764,38.133922,36.969828,35.920505,35.046410,34.408708,34.058439,
 ,5,63.951983,63.981707,63.673463,63.044719,62.126001,60.959178,59.594925,58.089403,56.500223,54.881935,53.281445,51.733946,50.260066,48.864897,47.539275,46.263287,45.011501,43.759090,42.487932,41.191870,39.880476,38.580846,37.337000,36.206486,35.253943,34.541867,
 ,10,63.806374,64.038143,63.927562,63.488612,62.748756,61.747421,60.533638,59.162862,57.693007,56.179922,54.672642,53.209017,51.812408,50.490146,49.234237,48.024355,46.832719,45.630069,44.391837,43.103677,41.765709,40.395079,39.026488,37.710409,36.508725,35.487664,
 ,15,63.558603,63.996017,64.086304,63.839772,63.280656,62.445802,61.382508,60.145514,58.793156,57.382839,55.966184,54.584353,53.264286,52.016563,50.835469,49.701409,48.585372,47.454709,46.279327,45.037432,43.720159,42.334668,40.905461,39.473723,38.094521,36.831702,
 ,20,63.201411,63.849658,64.145873,64.096414,63.722012,63.056670,62.145730,61.043055,59.807332,58.497613,57.168376,55.864597,54.617529,53.441954,52.335550,51.280656,50.248241,49.203428,48.111663,46.944641,45.685266,44.331194,42.896726,41.412930,39.925924,38.493246,
 ,25,62.725355,63.590769,64.099522,64.253652,64.070018,63.579415,62.824875,61.859067,60.740798,59.530657,58.286056,57.056096,55.876929,54.768386,53.732611,52.755098,51.808080,50.855705,49.860130,48.787594,47.613683,46.327288,44.932973,43.451681,41.919774,40.386422,
 ,30,62.119470,63.208960,63.937945,64.303703,64.318774,64.010289,63.418505,62.594452,61.596654,60.486940,59.325522,58.165729,57.048993,56.000895,55.029026,54.123239,53.258348,52.398860,51.504908,50.538426,49.468704,48.276734,46.958036,45.523852,44.000752,42.428732,
 ,35,61.372057,62.692424,63.649832,64.236295,64.459525,64.342461,63.922032,63.247067,62.375265,61.369215,60.291590,59.199812,58.140755,57.146240,56.230148,55.387816,54.597955,53.826821,53.033878,52.178001,51.223288,50.143796,48.926810,47.574499,46.104005,44.546072,
 ,40,60.471540,62.028727,63.222562,64.039242,64.481093,64.566279,64.327788,63.811596,63.073914,62.177461,61.186825,60.163159,59.158686,58.211720,57.343069,56.554546,55.830024,55.138914,54.441435,53.694745,52.858953,51.902226,50.804500,49.559613,48.175831,46.674941,
 ,45,59.407373,61.205658,62.642990,63.699143,64.370466,64.669728,64.625315,64.279643,63.686687,62.908532,62.010968,61.058297,60.107735,59.204077,58.375438,57.630907,56.960664,56.338652,55.727308,55.083501,54.364651,53.534170,52.565620,51.445313,50.173306,48.762904,
 ,50,58.170955,60.212117,61.898295,63.202182,64.113517,64.639037,64.801844,64.640052,64.204592,63.556063,62.760608,61.884898,60.990547,60.128529,59.334366,58.624963,57.997770,57.432544,56.895396,56.344390,55.735651,55.029075,54.192913,53.206843,52.063442,50.768116,
 ,55,56.756547,59.039010,60.976856,62.534965,63.695799,64.459409,64.842921,64.879394,64.615882,64.110597,63.429080,62.639442,61.806883,60.987980,60.225454,59.544269,58.949861,58.428913,57.952600,57.481675,56.972438,56.382611,55.676296,54.827519,53.822187,52.658464,
 ,60,55.162173,57.680128,59.869115,61.685376,63.103383,64.115818,64.733144,64.982613,64.906575,64.559927,64.006607,63.315125,62.553278,61.782430,61.051989,60.394899,59.824988,59.336750,58.907666,58.502631,58.079621,57.595610,57.011817,56.297703,55.433405,54.410579,
 ,65,53.390514,56.132998,58.568424,60.643427,62.323698,63.593841,64.456959,64.933769,65.061103,64.889628,64.480658,63.902005,63.222950,62.508626,61.814346,61.180624,60.629759,60.164633,59.770060,59.416414,59.064830,58.673002,58.200631,57.613801,56.887885,56.008853,
 ,70,51.449830,54.399739,57.071865,59.402075,61.346361,62.880491,63.999499,64.716847,65.063068,65.083717,64.836482,64.387362,63.805942,63.159962,62.509626,61.902312,61.368511,60.919740,60.548888,60.232950,59.937607,59.622747,59.247973,58.777277,58.182376,57.444488,
 ,75,49.354917,52.487901,55.381049,57.958002,60.163971,61.965029,63.347401,64.316582,64.896053,65.125420,65.057787,64.756249,64.289493,63.726620,63.131545,62.557540,62.042691,61.607029,61.251924,60.961873,60.708322,60.454757,60.162116,59.793653,59.318637,58.714566,
 ,80,47.128174,50.411362,53.502902,56.312369,58.772856,60.839732,62.489606,63.719275,64.544448,64.997987,65.127510,64.992172,64.658584,64.195936,63.670565,63.140475,62.650455,62.228587,61.884769,61.611549,61.387120,61.179824,60.953320,60.671504,60.302472,59.821135,
 ,85,44.800813,48.191290,51.450486,54.471561,57.173791,59.500620,61.418108,62.913587,63.994267,64.685521,65.028642,65.077874,64.896636,64.552952,64.114257,63.641988,63.186526,62.783227,62.450195,62.188233,61.982948,61.808584,61.632785,61.421426,61.142747,60.770275,
 ,90,42.414247,45.857249,49.243881,52.447934,55.372693,57.948137,60.128661,61.891268,63.233925,64.173792,64.745057,64.996161,64.986292,64.781115,64.447851,64.050011,63.642300,63.266313,62.947719,62.695401,62.502712,62.350553,62.211619,62.055008,61.850387,61.571141,
 ,95,40.021638,43.448470,46.911184,50.260624,53.381323,56.187813,58.621436,60.647847,62.254965,63.451011,64.262330,64.730743,64.910257,64.863071,64.654932,64.350078,64.006176,63.669851,63.373407,63.133301,62.950595,62.813273,62.699888,62.583822,62.437366,62.234987,
 ,100,37.689410,41.015301,44.489664,47.936452,51.218016,54.230909,56.901639,59.183267,61.052732,62.508551,63.568511,64.267053,64.652142,64.781505,64.718247,64.526023,64.264100,63.982803,63.719943,63.498739,63.327587,63.201624,63.105755,63.018467,62.915708,62.774170,
 ,105,35.498214,38.620697,42.027097,45.510968,48.908509,52.095100,54.980133,57.502483,59.626991,61.341612,62.654841,63.593022,64.197293,64.520001,64.620546,64.560787,64.400253,64.191615,63.976920,63.785120,63.631250,63.517337,63.434786,63.367714,63.296537,63.201162,
 ,110,33.542272,36.341386,39.583199,43.029671,46.486882,49.805225,52.874060,55.616045,57.982506,59.949826,61.516412,62.699798,63.533569,64.063874,64.345458,64.437273,64.397861,64.280903,64.131358,63.982721,63.855735,63.758734,63.689441,63.637800,63.589222,63.527610,
 ,115,31.925308,34.267819,37.230865,40.549341,43.996664,47.394136,50.607535,53.540686,56.129596,58.337825,60.152769,61.582408,62.652068,63.400960,63.878328,64.139221,64.240055,64.234254,64.168375,64.079185,63.992032,63.920720,63.868796,63.831902,63.800660,63.763478,
 ,120,30.751012,32.501371,35.056544,38.139297,41.492061,44.903705,48.212418,51.299957,54.084697,56.515776,58.568468,60.240353,61.547789,62.522351,63.207018,63.652065,63.910757,64.035099,64.071989,64.060186,64.028442,63.995011,63.968509,63.949840,63.934734,63.916314,
 ,125,30.107329,31.146738,33.158424,35.882019,39.039175,42.385945,45.729227,48.924948,51.870954,54.499922,56.773599,58.678165,60.220235,61.423059,62.322658,62.963750,63.395550,63.667605,63.825991,63.910224,63.951231,63.970585,63.981021,63.988013,63.991994,63.990702,


Predictor,3

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,
 ,0,64.000000,62.064192,55.764299,45.286750,33.657392,25.275339,20.866177,18.024885,16.581892,15.270651,11.032550,6.296698,10.600740,14.580319,12.619043,6.316828,5.556701,9.417100,9.019986,5.254926,2.280124,2.108859,0.771144,4.187293,7.742453,9.691320,
 ,5,62.583600,64.331628,60.701984,51.755286,40.837939,32.271287,26.597635,21.846866,18.483519,16.350163,12.541629,8.348003,10.655141,13.482659,10.981910,4.902002,7.255757,11.772343,11.548444,7.748428,4.153993,2.967712,1.110820,2.366611,5.890067,8.636080,
 ,10,58.923496,63.976959,62.747451,55.381121,45.628151,37.678690,31.512633,25.167455,19.859765,17.001744,13.991186,10.675102,11.483256,13.020878,10.021219,4.110633,8.009103,12.807634,12.746043,8.985049,5.050833,3.457992,2.179174,1.512006,4.112502,7.242047,
 ,15,54.677786,62.247148,62.629604,56.300291,47.619385,40.748736,34.807072,27.365437,20.223333,16.779690,15.043501,12.956675,12.803572,13.003867,9.554608,3.915274,8.043065,12.649225,12.539055,8.804196,4.712048,3.012788,2.448205,2.002269,2.938479,5.759782,
 ,20,52.038992,61.044405,61.870526,55.455023,47.044138,41.160584,35.929360,27.935433,19.159989,15.303925,15.422286,14.914324,14.292433,13.235347,9.341217,4.196475,7.758886,11.668715,11.173533,7.353167,3.206580,1.480362,1.735014,2.385433,2.776487,4.559036,
 ,25,52.455568,61.977474,62.220658,54.434162,44.870966,39.150403,34.698160,26.609773,16.468188,12.563259,15.298309,16.535915,15.737700,13.559331,9.188391,4.729569,7.563755,10.363327,9.095451,5.029709,1.406908,1.053477,0.500109,2.227299,3.175702,4.088717,
 ,30,55.459334,65.257303,64.650285,54.826716,42.683585,35.595477,31.390403,23.432008,12.230206,9.469176,15.598587,18.234456,17.184138,13.917634,8.976278,5.247248,7.637197,9.184631,6.824883,2.547193,3.251462,4.263648,2.673286,2.073265,3.534651,4.428007,
 ,35,59.211034,69.625777,68.688197,57.222227,42.063587,31.977575,26.800989,18.788475,6.825906,8.985413,17.684044,20.722901,18.963473,14.425624,8.682277,5.523971,7.844842,8.336733,4.801414,2.094096,6.434705,7.752153,5.694948,3.095858,3.743811,5.080602,
 ,40,61.955439,73.370720,72.866399,60.805244,43.524630,29.942090,22.272193,13.444309,1.284695,13.026914,22.006189,24.483564,21.484972,15.365372,8.437559,5.431426,7.925156,7.719112,3.245855,4.012897,9.426601,11.072447,8.820763,5.095921,3.989471,5.546433,
 ,45,62.761798,75.244386,75.690060,64.041470,46.106920,30.188190,19.470675,8.778084,5.350428,18.902796,27.662992,29.305218,24.858198,16.987422,8.535352,4.977658,7.700480,7.132675,2.323593,5.960685,11.898996,13.866919,11.637299,7.332970,4.491266,5.557099,
 ,50,61.524802,74.783591,76.266084,65.603519,48.224652,31.779853,19.257557,7.236017,10.393871,24.451828,33.330137,34.395484,28.702799,19.231816,9.242524,4.352406,7.142025,6.519101,2.733419,7.822358,13.859185,15.968566,13.837836,9.340182,5.270235,5.035418,
 ,55,58.667320,72.223797,74.462608,64.844070,48.635772,33.072612,20.589074,9.098923,14.037111,28.553043,37.859944,38.774628,32.297053,21.663275,10.502690,3.976744,6.345473,5.987668,4.475110,9.931190,15.593285,17.469073,15.298747,10.824204,6.148767,4.093384,
 ,60,54.775359,68.217817,70.779418,61.862082,46.822828,32.845672,21.707337,11.272450,15.871065,30.605797,40.448282,41.578647,34.848114,23.649890,11.925578,4.335220,5.512124,5.635548,6.688984,12.445395,17.486159,18.697959,16.133198,11.660102,6.908174,3.140080,
 ,65,50.328026,63.496815,66.061368,57.347687,42.986765,30.621379,21.508189,12.228272,15.805332,30.442445,40.707575,42.240179,35.709407,24.577698,13.030448,5.459935,5.004730,5.374896,8.752044,15.138515,19.720332,20.054101,16.675595,11.919780,7.391220,3.005237,
 ,70,45.686224,58.629088,61.161413,52.299572,37.888868,26.566393,19.663849,11.667952,14.077544,28.328904,38.712756,40.596242,34.523452,23.999486,13.435394,7.021413,5.350916,5.049165,10.200328,17.535293,22.098876,21.730416,17.339179,11.876866,7.543031,3.944538,
 ,75,41.386128,54.030978,56.705801,47.685520,32.620583,21.307153,16.380420,9.797591,11.257865,24.950220,35.008044,36.941990,31.307016,21.721596,12.949866,8.760661,6.798441,4.807373,10.754269,19.150103,24.151438,23.548540,18.358167,11.931580,7.439633,5.168489,
 ,80,38.496727,50.229935,53.112979,44.180274,28.314421,15.765440,12.168660,7.087405,8.296044,21.342004,30.553981,32.034558,26.494235,17.841389,11.631254,10.528306,9.044319,5.334591,10.434418,19.675307,25.380663,25.058089,19.607604,12.404403,7.313578,6.118659,
 ,85,38.396022,48.085723,50.827449,42.148584,25.812128,11.127026,7.642567,4.160142,6.595401,18.650028,26.550752,27.031364,20.967267,12.743308,9.840301,12.196078,11.605867,7.108407,9.699159,19.109805,25.472251,25.778396,20.684087,13.308288,7.518909,6.631004,
 ,90,41.533805,48.480852,50.430266,41.838664,25.428709,8.965739,3.348378,1.980457,6.977919,17.511171,23.983956,23.243413,16.111154,7.098315,8.290916,13.603090,14.011617,9.674774,9.461553,17.834777,24.422929,25.403443,21.139928,14.351437,8.331415,6.868907,
 ,95,46.642291,51.459280,52.281799,43.434063,27.019725,10.099008,0.712330,2.353798,8.212929,17.483531,22.959183,21.450640,13.609316,2.643879,7.833989,14.553477,15.823416,12.277169,10.464420,16.585327,22.592475,23.917098,20.673316,15.148211,9.713313,7.296205,
 ,100,51.651118,55.832081,55.956433,46.760661,30.179603,13.158717,3.696985,3.648785,9.011748,17.530074,22.624100,21.173555,13.902959,5.081707,8.572241,14.853236,16.674179,14.255135,12.372033,16.139837,20.654111,21.632257,19.220426,15.398858,11.357923,8.398290,
 ,105,54.826112,59.809986,60.196597,51.026816,34.255614,16.823815,6.357683,4.559560,8.973103,16.897200,21.957768,21.146996,15.291508,8.754590,9.673149,14.365365,16.325101,15.105900,14.197167,16.690295,19.342186,19.152181,16.978015,14.960617,12.891880,10.211626,
